4f87c7da-d6f9-4c44-bcbd-1c41d4eaaa27,an giang,Vietnam,An Giang
dc1eed72-73a7-4066-8b28-d97b7c7c632d,ba ria - vung tau,Vietnam,Bà Rịa - Vũng Tàu
1a2da559-bb5a-4f88-b2a6-5b91d17c1235,bac giang,Vietnam,Bắc Giang
8f58ee44-22cd-4234-9747-9d5467f8b767,bac kan,Vietnam,Bắc Kạn
4e6c8277-cbd2-4723-842a-c506176ca69a,bac lieu,Vietnam,Bạc Liêu
2c33f3b0-c104-477c-b9eb-628335712601,bac ninh,Vietnam,Bắc Ninh
df950d44-df6d-41b0-8c34-be6375ca34b1,ben tre,Vietnam,Bến Tre
ca76d1a2-98d0-4869-bbc2-315c68ba0c60,binh dinh,Vietnam,Bình Định
84068559-ad13-4359-bf9b-ccfd3b3b66d7,binh duong,Vietnam,Bình Dương
03a099ab-fc74-430f-90aa-ffb3bde55af0,binh phuoc,Vietnam,Bình Phước
bf372d38-36a6-4994-8cd6-f32554507faa,binh thuan,Vietnam,Bình Thuận
47876907-7806-4b34-be93-1ccd5323ecd3,ca mau,Vietnam,Cà Mau
e4a279cd-e387-46bc-ba65-3cf0a4043be0,can tho,Vietnam,Cần Thơ
7f3a2e82-2b9b-4912-b1a5-6e65e62b3b7a,cao bang,Vietnam,Cao Bằng
d86a0f6d-48b8-4659-bd05-12c45aba098d,da nang,Vietnam,Đà Nẵng
1cf6488f-d897-4d4c-972f-26c8d53a4cd3,dak lak,Vietnam,Đắk Lắk
a8edef23-75cf-485b-af41-a687205200a0,dak nong,Vietnam,Đắk Nông
bac3f401-d97d-41d4-8844-2e9f08fc6a82,dien bien,Vietnam,Điện Biên
cba19eeb-2448-485e-beb8-3a91184d6dac,dong nai,Vietnam,Đồng Nai
01445399-76f2-4072-8a7b-58ab2659521f,dong thap,Vietnam,Đồng Tháp
e5970584-167d-44a7-b062-7911378d7186,gia lai,Vietnam,Gia Lai
db2fbff6-4adf-4235-850e-c9e7ef537d75,ha giang,Vietnam,Hà Giang
85ddbe04-1421-4c50-992a-3873fa9b7e0d,ha nam,Vietnam,Hà Nam
c10091aa-0e5e-4ca2-8854-fc746de98b10,ha noi,Vietnam,Hà Nội
a132b15c-cf37-44fe-b7ff-db804926edc7,ha tinh,Vietnam,Hà Tĩnh
02ac1b1e-6e50-4acb-902f-d9a5b8f95063,hai duong,Vietnam,Hải Dương
96bebdb2-04dc-4702-8378-9d0167c1a2d9,hai phong,Vietnam,Hải Phòng
1b9381c6-4060-4a9c-9432-0ff76775458e,hau giang,Vietnam,Hậu Giang
43609fce-061b-44fd-83e7-878e2d9ff904,hoa binh,Vietnam,Hòa Bình
51259a9c-5812-4806-8ab7-ce43d64cafdf,ho chi minh,Vietnam,Hồ Chí Minh
6e80d0c4-6e84-41ae-817d-fb98fe14e9f7,hung yen,Vietnam,Hưng Yên
7d7eb3c4-6cf6-4ae1-8905-93b9c0a10257,khanh hoa,Vietnam,Khánh Hòa
a307c7fc-77d3-47ca-92bc-83206b00d13a,kien giang,Vietnam,Kiên Giang
7429b56c-e8db-4abc-88a2-46e9d9968e52,kon tum,Vietnam,Kon Tum
1673be96-dbae-4518-a2a9-13a390755f93,lai chau,Vietnam,Lai Châu
2aebc0bb-22ad-4fec-9d25-c3a411f5a20a,lam dong,Vietnam,Lâm Đồng
798b5c26-0075-4ea4-b4e1-ba94a4c3fbda,lang son,Vietnam,Lạng Sơn
2dcafb1b-9dca-4773-91de-75ea7949096f,lao cai,Vietnam,Lào Cai
1b7b7e61-4bc4-4e27-8db9-e167b74624ee,long an,Vietnam,Long An
02baf797-61d1-48ad-afe7-02d13d1975e0,nam dinh,Vietnam,Nam Định
895cd86b-2313-4bbc-8f98-56ad7fe5c807,nghe an,Vietnam,Nghệ An
2ef7a1e5-9b98-4163-baf0-731eba3ef2f3,ninh binh,Vietnam,Ninh Bình
e5d4f7b4-8e11-4a09-8f51-4b8a9645cda5,ninh thuan,Vietnam,Ninh Thuận
06dc31a5-6980-4117-9f86-c6aa71ea247e,phu tho,Vietnam,Phú Thọ
99e28acf-f961-4c8d-9bb9-c117c83830d3,phu yen,Vietnam,Phú Yên
ddb9992c-0bc3-4560-8d46-cbd9f49577ec,quang binh,Vietnam,Quảng Bình
7714d7b7-d267-4326-9035-22a09bc8cc75,quang nam,Vietnam,Quảng Nam
30439a7c-de12-4718-8315-0525c6c5eee5,quang ngai,Vietnam,Quảng Ngãi
4e278113-8e21-492f-8bfb-6d4b561942a1,quang ninh,Vietnam,Quảng Ninh
9860a3ba-3994-4d1d-94c6-dc295da61f92,quang tri,Vietnam,Quảng Trị
d335b06f-162c-4085-94d7-b46e4f1d93df,soc trang,Vietnam,Sóc Trăng
a0eb77f2-4612-453e-824d-67c7cb5c13eb,son la,Vietnam,Sơn La
88c3d64e-c08c-4773-b897-9cfaa1bd28d4,tay ninh,Vietnam,Tây Ninh
783d17f5-c88a-43b2-811c-01708f80d16c,thai binh,Vietnam,Thái Bình
682ec3fd-8d6b-4b7e-bc26-f2456d4df260,thai nguyen,Vietnam,Thái Nguyên
5dc4ac9e-5c61-4e00-aaf7-1eda0d37bb34,thanh hoa,Vietnam,Thanh Hóa
090443f0-aaee-463f-81b2-fdbab87cea7b,thua thien hue,Vietnam,Thừa Thiên Huế
c2890ef1-a0d3-4f85-982a-7d92b7402bab,tien giang,Vietnam,Tiền Giang
ddfdcb79-a763-4960-9fed-3eaf44d24132,tra vinh,Vietnam,Trà Vinh
a47a342c-31cc-4e6f-b9c4-a64602926039,tuyen quang,Vietnam,Tuyên Quang
0bcbe18e-f2d6-466d-9b76-558f4e338543,vinh long,Vietnam,Vĩnh Long
8dfe4598-fe49-430e-ac88-1ef9951e7a0e,vinh phuc,Vietnam,Vĩnh Phúc
9dfc9f0d-be50-47bb-a99d-53e006a97ed3,yen bai,Vietnam,Yên Bái
